44.000000	107.000000	70.000000	136.000000	
94.000000	385.000000	596.000000	420.000000	
224.000000	422.000000	467.000000	455.000000	
88.000000	493.000000	582.000000	526.000000	
88.000000	544.000000	588.000000	574.000000	
89.000000	590.000000	593.000000	621.000000	
89.000000	636.000000	595.000000	667.000000	
88.000000	683.000000	586.000000	714.000000	
88.000000	729.000000	578.000000	760.000000	
88.000000	776.000000	562.000000	809.000000	
89.000000	823.000000	549.000000	855.000000	
88.000000	869.000000	551.000000	900.000000	
308.000000	1101.000000	382.000000	1129.000000	
452.000000	1189.000000	457.000000	1216.000000	
